author,page_url,quote,tags,tags_url
John Lennon,https://quotes.toscrape.com/page/8/,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”","beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace","/tag/beatles/page/1/,/tag/connection/page/1/,/tag/dreamers/page/1/,/tag/dreaming/page/1/,/tag/dreams/page/1/,/tag/hope/page/1/,/tag/inspirational/page/1/,/tag/peace/page/1/"
W.C. Fields,https://quotes.toscrape.com/page/8/,“I am free of all prejudice. I hate everyone equally. ”,"humor,sinister","/tag/humor/page/1/,/tag/sinister/page/1/"
Ayn Rand,https://quotes.toscrape.com/page/8/,“The question isn't who is going to let me; it's who is going to stop me.”,,
William Nicholson,https://quotes.toscrape.com/page/4/,“We read to know we're not alone.”,"misattributed-to-c-s-lewis,reading","/tag/misattributed-to-c-s-lewis/page/1/,/tag/reading/page/1/"
Albert Einstein,https://quotes.toscrape.com/page/4/,“Any fool can know. The point is to understand.”,"knowledge,learning,understanding,wisdom","/tag/knowledge/page/1/,/tag/learning/page/1/,/tag/understanding/page/1/,/tag/wisdom/page/1/"
Jorge Luis Borges,https://quotes.toscrape.com/page/4/,“I have always imagined that Paradise will be a kind of library.”,"books,library","/tag/books/page/1/,/tag/library/page/1/"
George Eliot,https://quotes.toscrape.com/page/4/,“It is never too late to be what you might have been.”,inspirational,/tag/inspirational/page/1/
Alexandre Dumas fils,https://quotes.toscrape.com/page/6/,“The difference between genius and stupidity is: genius has its limits.”,misattributed-to-einstein,/tag/misattributed-to-einstein/page/1/
Stephenie Meyer,https://quotes.toscrape.com/page/6/,"“He's like a drug for you, Bella.”","drug,romance,simile","/tag/drug/page/1/,/tag/romance/page/1/,/tag/simile/page/1/"
Ernest Hemingway,https://quotes.toscrape.com/page/6/,“There is no friend as loyal as a book.”,"books,friends,novelist-quotes","/tag/books/page/1/,/tag/friends/page/1/,/tag/novelist-quotes/page/1/"
Mark Twain,https://quotes.toscrape.com/page/8/,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading","/tag/books/page/1/,/tag/classic/page/1/,/tag/reading/page/1/"
Helen Keller,https://quotes.toscrape.com/page/6/,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",inspirational,/tag/inspirational/page/1/
